,Price,BHK,beds,baths,balcony,covered-parking,Carpet Area,Developer,Project,Floor,Transaction type,Status,Lifts,Address,Furnishing,Flooring,Water Availability,Status of Electricity,Price_Updated,BHK_2
645,3200000,2,2,2,1,nan,750,,,3 (Out of 4 Floors),Resale,Ready to Move,0,"K Block, Mahipalpur, New Delhi - South, Delhi NCR",Furnished,,,,₹32.0 Lac,2 
646,27500000,3,3,2,1,nan,1400,,,2 (Out of 4 Floors),Resale,Ready to Move,0,"C-9 second floor Vasant kunj New delhi 110067, Vasant Kunj, New Delhi - South, Delhi NCR",Unfurnished,,,,₹2.75 Cr,3 
647,2600000,2,2,nan,1,nan,650,,,1 (Out of 3 Floors),New Property,Ready to Move,0,"thana road, Bhajanpura, New Delhi - East, Delhi NCR",Semi-Furnished,,,,₹26.0 Lac,2 
648,12000000,3,3,3,nan,1,1250,,,Ground (Out of 4 Floors),New Property,Ready to Move,0,"New Delhi, Janakpuri, New Delhi - West, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut,₹1.20 Cr,3 
649,24500000,3,3,3,2,nan,1250,,,1 (Out of 4 Floors),Resale,Ready to Move,0,"B-193., Janakpuri Block B1, New Delhi - West, Delhi NCR",Unfurnished,"Mosaic, Vitrified, Wooden, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite, Marbonite",,,₹2.45 Cr,3 
650,4510000,3,3,2,1,nan,870,,,2 (Out of 4 Floors),New Property,Ready to Move,0,"Om Vihar, Uttam Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,,,,₹45.1 Lac,3 
651,12500000,3,3,2,nan,nan,1600,,,3 (Out of 4 Floors),Resale,Ready to Move,0,"C 1-5, rana pratap bagh, delhi-110007., Rana Pratap Bagh, New Delhi - North, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut,₹1.25 Cr,3 
652,5350000,3,3,2,1,nan,99,,,1 (Out of 4 Floors),Resale,Ready to Move,0,"H3118A, First Floor, Bengali Colony, Mahavir Enclave, New Delhi 110045, Mahavir Enclave Part 1, New Delhi - West, Delhi NCR",Semi-Furnished,Marble,,,₹53.5 Lac,3 
653,2290000,3,3,2,nan,nan,668,,,3 (Out of 3 Floors),Resale,Ready to Move,0,"Uttam Nagar West, New Delhi - West, Delhi NCR",Unfurnished,Marble,,,₹22.9 Lac, 680 Sq-ft  3 
654,7100000,3,3,2,1,nan,900,,,2 (Out of 4 Floors),New Property,Ready to Move,0,"New Delhi, Dwarka Mor, New Delhi - West, Delhi NCR",Semi-Furnished,,,,₹71.0 Lac,3 
655,3500000,2,2,2,nan,nan,67,,,1 (Out of 4 Floors),Resale,Ready to Move,0,"Neb Sarai, New Delhi - South, Delhi NCR",Unfurnished,"Ceramic Tiles, Marble",,,₹35.0 Lac,2 
656,45000000,3,3,4,2,nan,1800,,,4 (Out of 4 Floors),Resale,Ready to Move,0,"New Delhi, Jangpura Extension, New Delhi - South, Delhi NCR",Semi-Furnished,,,,₹4.50 Cr,3 
657,16500000,3,3,3,2,nan,1450,,,1 (Out of 4 Floors),Resale,Ready to Move,0,"New Delhi, Sector 16 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,,,,₹1.65 Cr,3 
658,32500000,3,3,3,2,1,1440,,,2 (Out of 3 Floors),Resale,Ready to Move,0,"Jangpura Extension, Jangpura Extension, New Delhi - South, Delhi NCR",Unfurnished,"Marble, Wooden",24 Hours Available,No/Rare Powercut,₹3.25 Cr,3 
659,14800000,3,3,3,nan,nan,1400,Cooperative Group Housing Society,New Delhi Apartment,5 (Out of 7 Floors),Resale,Ready to Move,0,"Vasundhara Enclave, New Delhi - East, Delhi NCR",Semi-Furnished,Vitrified,,,₹1.48 Cr,3 
660,9000000,2,2,2,nan,nan,1000,,,3 (Out of 5 Floors),Resale,Ready to Move,0,"D - 1168, Third Floor, Lajpat Nagar 1, New Delhi - South, Delhi NCR",Unfurnished,Marble,6 Hours Available,,₹90.0 Lac,2 
661,47500000,3,3,4,3,1,251,,,2 (Out of 3 Floors),Resale,Ready to Move,0,"New Friends Colony, New Delhi - South, Delhi NCR",Semi-Furnished,Ceramic Tiles,,,₹4.75 Cr,3 
662,41000000,3,3,4,1,nan,1600,,,2 (Out of 4 Floors),Resale,Ready to Move,0,"new delhi, greter kailash, GK II, New Delhi - South, Delhi NCR",Semi-Furnished,Marble,,,₹4.10 Cr,3 
663,8000000,2,2,2,nan,nan,675,,Jasola Pocket 12 LIG Flats,Ground (Out of 1 Floors),Resale,Ready to Move,0,"Jasola, New Delhi - South, Delhi NCR",Semi-Furnished,,,No/Rare Powercut,₹80.0 Lac,2 
664,20000000,2,2,2,1,nan,1000,Cooperative Group Housing Society,Shri Sai Baba Apartment,5 (Out of 7 Floors),Resale,Ready to Move,0,"Sai baba apartments sector 9 rohini Delhi, Sector 9 Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,Vitrified,,,₹2.0 Cr,2 
665,26500000,3,3,2,2,1,1100,DLF Ltd.,DLF Capital Greens 1 and 2,25 (Out of 30 Floors),Resale,Ready to Move,2,"C Block, Karam Pura, New Delhi - West, Delhi NCR",Unfurnished,"Ceramic Tiles, Wooden",24 Hours Available,No/Rare Powercut,₹2.65 Cr,3 
